0	3	4	0	67	0.0	1.0
0	3	4	10	67	0.0	1.0
0	3	4	10	69	0.0	1.0
0	3	4	10	71	0.0	1.0
0	3	4	3	43	0.0	1.0
0	3	4	10	74	0.0	1.0
0	3	4	10	76	0.0	1.0
0	3	4	10	78	0.0	1.0
0	3	4	10	72	0.0	1.0
0	3	4	11	67	0.0	1.0
0	3	4	11	64	0.0	1.0
0	3	4	1	62	0.0	1.0
0	3	4	2	59	0.0	1.0
1	3	4	0	67	1.0	2.0
1	3	4	3	55	1.0	1.0
1	3	4	2	59	1.0	1.0
1	3	4	1	62	1.0	1.0
1	3	4	1	64	2.0	1.0
1	3	4	3	52	2.0	1.0
1	3	4	2	60	2.0	0.5
1	3	4	2	59	2.5	0.5
1	3	4	0	74	3.0	1.0
1	3	4	1	62	3.0	1.0
1	3	4	2	57	3.0	1.0
1	3	4	3	54	3.0	1.0
2	3	4	2	55	4.0	1.0
2	3	4	3	55	4.0	1.0
2	3	4	0	71	4.0	1.5
2	3	4	1	62	4.0	2.0
2	3	4	2	54	5.0	1.0
2	3	4	3	50	5.0	1.0
2	3	4	0	69	5.5	0.5
2	3	4	2	55	6.0	1.0
2	3	4	3	52	6.0	1.0
2	3	4	1	59	6.0	1.0
2	3	4	0	67	6.0	1.0
3	3	4	1	64	7.0	0.5
3	3	4	2	60	7.0	0.5
3	3	4	3	48	7.0	1.0
3	3	4	0	67	7.0	1.5
3	3	4	2	59	7.5	0.5
3	3	4	1	62	7.5	0.5
3	3	4	1	64	8.0	0.5
3	3	4	2	60	8.0	1.0
3	3	4	3	47	8.0	0.5
3	3	4	3	45	8.5	0.5
3	3	4	0	69	8.5	0.5
3	3	4	1	66	8.5	0.5
3	3	4	1	67	9.0	1.0
3	3	4	2	62	9.0	1.0
3	3	4	0	71	9.0	1.0
3	3	4	3	43	9.0	1.0
4	3	4	2	62	10.0	2.0
4	3	4	3	50	10.0	2.0
4	3	4	0	69	10.0	2.0
4	3	4	1	66	10.0	2.0
4	3	4	0	71	12.0	1.0
4	3	4	3	43	12.0	1.0
4	3	4	2	62	12.0	1.0
4	3	4	1	67	12.0	1.0
5	3	4	1	62	13.0	1.0
5	3	4	2	57	13.0	1.0
5	3	4	3	42	13.0	1.0
5	3	4	0	74	13.0	2.0
5	3	4	2	59	14.0	1.0
5	3	4	3	43	14.0	1.0
5	3	4	1	64	14.0	1.0
5	3	4	0	72	15.0	1.0
5	3	4	1	66	15.0	1.0
5	3	4	2	60	15.0	1.0
5	3	4	3	45	15.0	1.0
6	3	4	0	71	16.0	1.0
6	3	4	1	67	16.0	2.0
6	3	4	2	62	16.0	1.0
6	3	4	3	47	16.0	1.0
6	3	4	0	69	17.0	2.0
6	3	4	2	64	17.0	1.0
6	3	4	3	48	17.0	1.0
6	3	4	1	66	18.0	1.0
6	3	4	2	62	18.0	0.5
6	3	4	3	50	18.0	1.0
6	3	4	2	60	18.5	0.5
7	3	4	3	43	19.0	2.0
7	3	4	2	59	19.0	2.0
